21-143	AbramÛw
93-632	£Ûdü
93-633	£Ûdü
93-635	£Ûdü
93-636	£Ûdü
93-638	£Ûdü
93-640	£Ûdü
93-641	£Ûdü
93-642	£Ûdü
93-643	£Ûdü
93-645	£Ûdü
93-646	£Ûdü
93-647	£Ûdü
93-648	£Ûdü
93-649	£Ûdü
94-002	£Ûdü
94-003	£Ûdü
94-004	£Ûdü
94-005	£Ûdü
94-006	£Ûdü
94-007	£Ûdü
94-010	£Ûdü
94-011	£Ûdü
94-012	£Ûdü
94-014	£Ûdü
94-016	£Ûdü
94-017	£Ûdü
94-020	£Ûdü
94-021	£Ûdü
94-022	£Ûdü
94-023	£Ûdü
94-024	£Ûdü
94-025	£Ûdü
94-028	£Ûdü
94-029	£Ûdü
94-030	£Ûdü
94-032	£Ûdü
94-035	£Ûdü
94-036	£Ûdü
94-038	£Ûdü
94-039	£Ûdü
94-040	£Ûdü
94-041	£Ûdü
94-042	£Ûdü
94-043	£Ûdü
94-044	£Ûdü
94-046	£Ûdü
94-047	£Ûdü
94-048	£Ûdü
94-049	£Ûdü
94-050	£Ûdü
94-051	£Ûdü
94-052	£Ûdü
94-053	£Ûdü
94-054	£Ûdü
94-055	£Ûdü
94-056	£Ûdü
94-058	£Ûdü
94-101	£Ûdü
94-102	£Ûdü
94-103	£Ûdü
94-104	£Ûdü
94-107	£Ûdü
94-108	£Ûdü
94-109	£Ûdü
94-110	£Ûdü
94-111	£Ûdü
94-112	£Ûdü
94-113	£Ûdü
94-115	£Ûdü
94-116	£Ûdü
94-117	£Ûdü
94-118	£Ûdü
94-119	£Ûdü
94-120	£Ûdü
94-121	£Ûdü
94-122	£Ûdü
94-123	£Ûdü
94-124	£Ûdü
94-125	£Ûdü
94-126	£Ûdü
94-127	£Ûdü
94-128	£Ûdü
94-129	£Ûdü
94-131	£Ûdü
94-202	£Ûdü
94-203	£Ûdü
94-204	£Ûdü
94-205	£Ûdü
94-208	£Ûdü
94-209	£Ûdü
94-212	£Ûdü
94-213	£Ûdü
94-214	£Ûdü
94-215	£Ûdü
94-216	£Ûdü
94-217	£Ûdü
94-218	£Ûdü
94-221	£Ûdü
94-222	£Ûdü
94-223	£Ûdü
94-224	£Ûdü
94-225	£Ûdü
94-226	£Ûdü
94-227	£Ûdü
94-230	£Ûdü
94-231	£Ûdü
94-232	£Ûdü
94-233	£Ûdü
94-234	£Ûdü
94-235	£Ûdü
94-236	£Ûdü
94-237	£Ûdü
94-238	£Ûdü
94-239	£Ûdü
94-240	£Ûdü
94-241	£Ûdü
94-242	£Ûdü
94-243	£Ûdü
94-244	£Ûdü
94-247	£Ûdü
94-248	£Ûdü
94-249	£Ûdü
94-250	£Ûdü
94-251	£Ûdü
94-252	£Ûdü
94-253	£Ûdü
94-255	£Ûdü
94-256	£Ûdü
94-257	£Ûdü
94-258	£Ûdü
94-259	£Ûdü
94-260	£Ûdü
94-261	£Ûdü
94-262	£Ûdü
94-263	£Ûdü
94-264	£Ûdü
94-265	£Ûdü
94-266	£Ûdü
94-267	£Ûdü
94-268	£Ûdü
94-269	£Ûdü
94-270	£Ûdü
94-271	£Ûdü
94-272	£Ûdü
94-273	£Ûdü
94-274	£Ûdü
94-275	£Ûdü
94-276	£Ûdü
94-277	£Ûdü
94-278	£Ûdü
94-279	£Ûdü
94-280	£Ûdü
94-281	£Ûdü
94-282	£Ûdü
94-283	£Ûdü
94-284	£Ûdü
94-285	£Ûdü
94-301	£Ûdü
94-302	£Ûdü
94-303	£Ûdü
94-304	£Ûdü
94-305	£Ûdü
94-306	£Ûdü
94-307	£Ûdü
94-308	£Ûdü
94-311	£Ûdü
94-312	£Ûdü
94-313	£Ûdü
94-314	£Ûdü
94-315	£Ûdü
94-316	£Ûdü
94-317	£Ûdü
94-319	£Ûdü
94-324	£Ûdü
94-325	£Ûdü
94-326	£Ûdü
94-327	£Ûdü
94-329	£Ûdü
94-330	£Ûdü
94-331	£Ûdü
94-332	£Ûdü
94-333	£Ûdü
94-334	£Ûdü
94-401	£Ûdü
94-402	£Ûdü
94-403	£Ûdü
94-404	£Ûdü
94-405	£Ûdü
94-406	£Ûdü
94-407	£Ûdü
94-409	£Ûdü
94-410	£Ûdü
94-411	£Ûdü
94-412	£Ûdü
94-413	£Ûdü
94-328	£Ûdü
94-446	£Ûdü
91-020	£Ûdü
91-201	£Ûdü
94-045	£Ûdü
91-001	£Ûdü
92-201	£Ûdü
87-152	£ubianka
46-022	Luboszyce
46-022	Luboszyce k. Opola
46-024	£ubniany
46-025	Je≥owa
28-232	£ubnice
28-233	Gace S≥upieckie
98-431	WÛjcin
98-431	WÛjcin k. Boles≥awca
98-431	WÛjciÒ
98-431	WÛjciÒ k. Boles≥awca
98-432	£ubnice
98-432	£ubnice k. Wielunia
98-433	Dzietrzkowice
98-433	Dzietrzkowice k. Wielunia
62-260	£ubowo
62-260	£ubowo k. Gniezna
62-261	Lednica
62-261	LednogÛra
62-262	Fa≥kowo
23-412	£ukowa
23-412	£ukowa k. Bi≥goraja
34-604	Przyszowa
34-606	£ukowica
34-606	£ukowica k. Limanowej
21-400	£ukÛw
21-430	Dπbie
21-430	Dπbie k. £ukowa
14-105	£ukta
14-105	£ukta k. OstrÛdy
38-322	£uøna
38-331	Szalowa
38-332	Wola £uøaÒska
07-436	Lipniki
07-437	£yse
07-438	Zalas
87-148	£ysomice
99-420	£yszkowice
08-471	Pod≥Íø
08-480	Maciejowice
08-480	Maciejowice k. Garwolina
26-910	Magnuszew
26-914	Rozniszew
36-110	Majdan KrÛlewski
39-462	Majdan KrÛlewski
39-463	Krzπtka
96-124	MakÛw
96-124	MakÛw k. Skierniewic
06-200	MakÛw Mazowiecki
34-220	MakÛw PodhalaÒski
34-231	Juszczyn
62-709	MalanÛw
82-200	Malbork
82-210	Malbork
82-211	Lasowice Wielkie
82-211	Lasowice Wielkie k. Malborka
55-320	Malczyce
76-129	Ostrowiec S≥awieÒski
76-141	Karwice
76-142	Malechowo
76-144	Lejkowo
76-144	Lejkowo k. S≥awna
09-455	G≥Ûwczyn
09-458	PodgÛrze
09-460	Ma≥a Wieú
14-330	Ma≥dyty
14-332	Po≥owite
14-335	Dobrocin
07-319	ProstyÒ
07-320	Ma≥kinia
07-320	Ma≥kinia GÛrna
28-366	Ma≥ogoszcz
28-367	Z≥otniki
28-367	Z≥otniki k. JÍdrzejowa
67-320	Ma≥omice
18-405	Rogienice Wielkie
18-415	Ma≥y P≥ock
18-511	Rogienice Wielkie
18-515	Kπty
18-515	Kπty k. Kolna
18-516	Ma≥y P≥ock
76-009	Bonin
76-011	Manowo
76-011	Wyszewo
76-015	Manowo
76-020	Bobolice
76-020	KrÍpa
76-020	KrÍpa k. Koszalina
76-021	KrÍpa
76-021	KrÍpa k. Koszalina
76-042	Rosnowo
58-111	Wiry
58-123	Strzelce
58-123	Strzelce k. åwidnicy ålπskiej
58-124	Marcinowice
58-410	MarciszÛw
58-411	SÍdzis≥aw
64-830	Margonin
64-831	Lipiny
64-831	Lipiny k. Go≥aÒczy
64-832	Radwanki
73-121	Marianowo
73-121	Marianowo k. Stargardu SzczeciÒskiego
05-260	Marki
05-261	Marki
05-270	Marki
44-321	Marklowice
37-120	Markowa
37-121	HusÛw
82-325	Markusy
24-173	MarkuszÛw
97-514	Przerπb
97-515	Mas≥owice
26-001	Mas≥Ûw
66-613	Radomicko
66-614	Maszewo
66-614	Maszewo Lubuskie
72-130	Maszewo
72-131	Roønowo Nowogardzkie
72-212	DÍbice
72-212	DÍbice k. Nowogardu
37-731	Siedliska
37-731	Siedliska k. Przemyúla
37-732	Medyka
21-006	KrzesimÛw
21-007	Me≥giew
59-422	Piotrowice
59-422	Piotrowice k. Jawora
59-423	Pomocne
59-424	MÍcinka
33-221	MÍdrzechÛw
89-350	Miasteczko KrajeÒskie
42-610	Miasteczko ålπskie
77-200	Miastko
77-203	DretyÒ
77-205	Role
77-207	Piaszczyna
77-211	Mi≥ocice
77-211	Mi≥ocice k. Miastka
77-222	Kawcze
18-413	Miastkowo
18-413	Miastkowo k. £omøy
08-420	MiastkÛw
08-420	MiastkÛw k. Garwolina
08-420	MiastkÛw Koúcielny
22-455	Miπczyn
22-455	Zakrzew
22-455	Zakrzew k. Krasnegostawu
22-456	Kotlice
22-457	HoryszÛw Ruski
22-552	HoryszÛw Ruski
22-553	Miπczyn
22-556	Kotlice
22-557	NiewirkÛw
05-806	KomorÛw
05-806	KomorÛw k. Pruszkowa
05-816	Micha≥owice
05-816	Micha≥owice k. Raszyna
05-816	Regu≥y
32-091	Micha≥owice
16-050	Micha≥owo
16-051	Szymki
16-053	Juszkowy GrÛd
16-054	Ja≥Ûwka
16-132	Nowa Wola
28-411	Micha≥Ûw
28-411	Micha≥Ûw k. PiÒczowa
28-412	GÛry PiÒczowskie
21-140	MichÛw
21-140	MichÛw k. Lubartowa
21-142	Rudno
21-142	Rudno k. Lubartowa
32-200	MiechÛw
32-225	S≥awice
26-085	Miedziana GÛra
64-305	Bolewice
64-361	Miedzichowo
07-105	Ugoszcz
07-105	Ugoszcz k. WÍgrowa
07-106	Miedzna
07-106	Miedzna k. WÍgrowa
43-225	Wola
43-225	Wola k. Pszczyny
43-227	Miedüna
43-227	Miedüna k. Pszczyny
42-120	Miedüno
42-120	Miedüno k. K≥obucka
42-122	Ostrowy nad Okszπ
38-423	Targowiska
38-430	Miejsce Piastowe
38-455	G≥owienka
63-910	Miejska GÛrka
63-912	Konary
63-912	Konary k. Rawicza
63-913	D≥oÒ
39-300	Mielec
39-303	Mielec
39-331	ChorzelÛw
39-302	Mielec
62-212	Mieleszyn
62-212	Mieleszyn k. Gniezna
62-213	£opienno
17-307	Mielnik
17-307	Mielnik nad Bugiem
76-002	£azy
76-002	£azy k. Koszalina
76-032	Mielno
76-034	Sarbinowo Morskie
58-350	MieroszÛw
58-351	Soko≥owsko
58-352	Unis≥aw ålπski
42-460	MierzÍcice
74-129	Stare £ysogÛrki
74-133	Mieszkowice
74-505	Mieszkowice
62-285	Popowo Koúcielne
62-290	Mieúcisko
62-291	Go≥aszewo
62-292	Jaroszewo
55-081	MietkÛw
55-082	Domanice
55-082	Domanice k. åwidnicy ålπskiej
56-512	Bukowina Sycowska
56-513	MiÍdzybÛrz
64-400	MiÍdzychÛd
64-421	Kamionna
64-426	£owyÒ
64-427	Lewice
57-520	D≥ugopole-ZdrÛj
57-522	DomaszkÛw
57-530	MiÍdzylesie
57-530	MiÍdzylesie k. Bystrzycy K≥odzkiej
21-340	Jelnica
21-350	MiÍdzyrzec Podlaski
21-351	T≥uúciec
21-352	Krzewica
21-353	Rogoünica
21-560	MiÍdzyrzec Podlaski
21-562	Jelnica
21-563	Rogoünica
21-564	T≥uúciec
66-300	MiÍdzyrzecz
66-305	Ka≥awa
66-306	Kursko
66-313	Bukowiec Lubuski
72-500	MiÍdzyzdroje
72-519	Wapnica
72-519	Wapnica k. Wolina
55-023	Lutynia
55-024	Wilkszyn
55-025	MiÍkinia
55-026	Gos≥awice
55-026	Gos≥awice k. årody ålπskiej
55-028	MrozÛw
55-330	MiÍkinia
55-331	Gos≥awice
55-331	Gos≥awice k. årody ålπskiej
55-332	KsiÍginice
55-332	KsiÍginice k. årody ålπskiej
55-333	Lutynia
55-334	MrozÛw
55-335	Wilkszyn
11-730	Miko≥ajki
11-730	Miko≥ajki k. Mrπgowa
11-733	Baranowo
11-733	Baranowo k. Mrπgowa
11-734	Ze≥wπgi
11-735	Woünice
11-736	Olszewo
11-736	Olszewo k. Mrπgowa
82-433	Miko≥ajki Pomorskie
43-190	Miko≥Ûw
43-193	Miko≥Ûw
43-195	Miko≥Ûw
43-196	Miko≥Ûw
43-197	Miko≥Ûw
63-510	Mikstat
21-201	Rudno
21-201	Rudno k. Radzynia Podlaskiego
21-210	MilanÛw
05-822	MilanÛwek
17-332	Milejczyce
17-340	Rogacze
82-316	Milejewo
82-318	Pomorska Wieú
21-020	MilejÛw
21-021	Bia≥ka
21-021	Bia≥ka k. Lublina
21-042	JaszczÛw
56-300	Milicz
56-303	Gπdkowice
56-304	Bartniki
56-306	Su≥Ûw
56-322	Czatkowice
34-360	MilÛwka
34-383	Kamesznica
14-305	Boguchwa≥y
14-310	Mi≥akowo
11-511	Rydzewo
11-513	Mi≥ki
59-215	Rzeszotary
59-218	Ulesie
59-222	Mi≥kowice
14-140	Mi≥om≥yn
82-213	Mi≥oradz
82-222	KoÒczewice
62-320	Mi≥os≥aw
62-322	Orzechowo
05-300	MiÒsk Mazowiecki
05-302	MiÒsk Mazowiecki
22-530	Mircze
22-532	Kry≥Ûw
22-533	WiszniÛw
22-533	WiszniÛw k. Hrubieszowa
22-534	Stara Wieú
22-534	Stara Wieú k. Hrubieszowa
78-650	Hanki
78-650	Miros≥awiec
78-652	Hanki
26-503	MirÛw
26-503	Stary MirÛw
58-537	RÍbiszÛw
59-624	RÍbiszÛw
59-630	Mirsk
59-632	Giebu≥tÛw
59-813	Giebu≥tÛw
59-870	Mirsk
27-220	Mirzec
27-220	Mirzec k. Wπchocka
06-500	M≥awa
06-501	M≥awa
96-404	Osiek
96-404	Osiek k. Wielunia
96-511	Kamion
96-511	Kamion k. Sochaczewa
96-512	M≥odzieszyn
14-420	M≥ynary
14-424	B≥udowo
06-231	M≥ynarze
26-080	MniÛw
26-083	MniÛw
26-084	Grzyma≥kÛw
26-214	Zaborowice
26-214	Zaborowice k. KoÒskich
26-341	MniszkÛw
26-342	B≥ogie Rzπdowe
26-343	Bukowiec nad Pilicπ
09-214	Mochowo
09-215	Boøewo
09-228	Ligowo
23-310	Modliborzyce
23-310	Modliborzyce k. Kraúnika Lubelskiego
23-311	Wierzchowiska
05-640	Mogielnica
05-640	Mogielnica k. GrÛjca
30-444	LibertÛw
32-031	Mogilany
32-031	Mogilany k. Krakowa
88-300	Mogilno
88-314	JÛzefowo
88-314	JÛzefowo k. Mogilna
88-315	Czarnotul
88-321	Kwieciszewo
88-330	GÍbice
88-330	GÍbice k. Mogilna
88-342	Wylatowo
08-123	Niwiski
08-123	Niwiski k. Siedlec
08-124	Mokobody
98-342	OøarÛw
98-342	OøarÛw k. Wielunia
98-345	Mokrsko
19-100	MoÒki
19-101	MoÒki
19-112	DziÍkonie
26-025	£agÛw
26-025	£agÛw k. Staszowa
26-026	Morawica
26-027	DÍbska Wola
14-300	Morπg
14-304	£πczno
14-307	S≥onecznik
14-331	Øabi RÛg
08-140	Mordy
74-127	MoryÒ
74-503	MoryÒ
83-131	Nowa Cerkiew
83-131	Nowa Cerkiew k. Morzeszczyna
83-132	Morzeszczyn
83-133	Gπsiorki
62-022	åwiπtniki
62-050	Mosina
62-053	Pecna
61-330	Mosina
61-160	Czapury
29-130	Moskorzew
29-131	Chlewice
29-131	Chlewice k. W≥oszczowej
42-258	Moskarzew
38-321	Moszczenica
38-321	Moszczenica k. Gorlic
38-325	StaszkÛwka
97-307	Srock
97-307	Srock k. Piotrkowa Trybunalskiego
97-310	Moszczenica
97-310	Moszczenica k. Piotrkowa Trybunalskiego
97-311	Baby
11-700	Mrπgowo
11-703	Wyszembork
11-704	Uøranki
11-705	Grabowo
11-705	Grabowo k. Mrπgowa
11-732	Kosewo
89-114	Witos≥aw
89-115	Mrocza
05-317	Jeruzal
05-317	Jeruzal k. MiÒska Mazowieckiego
05-320	Mrozy
05-321	Rudka Sanatorium
42-244	MstÛw
42-246	Mokrzesz
44-323	Po≥omia
44-325	Mszana
44-325	Mszana k. Wodzis≥awia ålπskiego
34-730	Mszana Dolna
34-731	Raba Niøna
34-732	OlszÛwka
34-732	OlszÛwka k. Limanowej
34-733	Mszana GÛrna
34-734	Kasinka Ma≥a
34-736	Lubomierz
34-736	Lubomierz k. Limanowej
34-741	Kasina Wielka
96-320	MszczonÛw
96-322	Piekary
96-323	OsuchÛw
96-332	Radziwi≥≥Ûw
96-332	Radziwi≥≥Ûw k. Skierniewic
59-406	Snowidza
59-407	MúciwojÛw
34-106	Mucharz
62-095	Goúlina
62-095	Murowana Goúlina
62-096	Murowana Goúlina
62-097	D≥uga Goúlina
64-604	Uchorowo
46-026	Stare Budkowice
46-030	MurÛw
33-360	ØegiestÛw-ZdrÛj
33-370	Muszyna
62-831	Korzeniew
62-831	Mycielin
62-832	Dzierzbin
62-833	Koúcielec
62-833	Koúcielec k. Kalisza
42-223	Lubojna
42-231	Cykarzew
42-233	MykanÛw
42-234	Borowno
58-515	Karpniki
58-531	£omnica
58-531	£omnica k. Jeleniej GÛry
58-532	Kostrzyca
58-533	Mys≥akowice
41-400	Mys≥owice
41-404	Mys≥owice
41-405	Mys≥owice
41-408	Mys≥owice
41-409	Mys≥owice
41-412	Mys≥owice
42-300	MyszkÛw
42-330	MyszkÛw
07-430	Myszyniec
32-400	Myúlenice
32-425	Trzemeúnia
32-444	G≥ogoczÛw
32-445	Krzyszkowice
74-300	MyúlibÛrz
74-312	Golenice
05-830	Nadarzyn
05-831	M≥ochÛw
05-832	Rozalin
28-355	Trzciniec
28-362	Nag≥owice
89-100	Nak≥o
89-100	Nak≥o nad Noteciπ
89-120	Potulice
89-121	ålesin
89-121	ålesin k. Nak≥a nad Noteciπ
89-122	Minikowo
24-140	Na≥ÍczÛw
24-150	Na≥ÍczÛw
24-151	Sadurki
46-100	Namys≥Ûw
46-132	Kowalowice
46-134	G≥uszyna
46-142	Bukowa ålπska
46-152	JastrzÍbie
46-152	JastrzÍbie k. Namys≥owa
46-161	Smarchowice Wielkie
46-163	Øaba
46-166	Ligota KsiπøÍca
46-171	Krasowice
46-171	Krasowice k. Namys≥owa
17-210	Narew
17-212	£osinka
17-213	Trzeúcianka
17-220	Narewka
17-221	Lewkowo Stare
17-222	SiemianÛwka
37-610	Narol
37-613	Ruda RÛøaniecka
37-614	P≥azÛw
09-152	Naruszewo
09-153	Radzymin
09-153	Radzymin k. P≥oÒska
09-162	Nacpolsk
05-190	Nasielsk
05-191	Nasielsk
05-192	Cieksyn
06-130	Nasielsk
09-132	Cieksyn
09-132	Cieksyn k. Nasielska
33-335	Nawojowa
62-308	Targowa GÛrka
62-330	Nekla
47-440	NÍdza
47-442	Zawada KsiπøÍca
13-100	Nidzica
13-104	Napiwoda
13-106	Jab≥onka
13-106	Jab≥onka k. Nidzicy
13-121	Kanigowo
99-416	NieborÛw
99-416	NieborÛw k. £owicza
99-418	Be≥chÛw
99-435	Mys≥akÛw
99-436	Bednary
38-112	Lutcza
38-112	Lutcza k. Rzeszowa
38-114	Niebylec
38-115	Po≥omia
38-115	Po≥omia k. Rzeszowa
38-116	Gwoünica GÛrna
62-220	Niechanowo
62-242	Jarzπbkowo
56-202	Wroniniec
56-203	Siciny
56-215	NiechlÛw
21-057	KrÍønica Jara
24-220	Niedrzwica Duøa
24-221	Strzeszkowice Duøe
24-222	Niedrzwica Koúcielna
21-104	Niedüwiada
21-104	Niedüwiada k. Lubartowa
21-106	Brzeünica Bychawska
34-735	Niedüwiedü
34-735	Niedüwiedü k. Limanowej
67-311	Nowa Jab≥ona
67-312	Niegos≥awice
42-320	Niegowa
42-323	Sokolniki
42-323	Sokolniki k. Myszkowa
22-413	Nielisz
22-451	Ruskie Piaski
21-003	Ciecierzyn
21-004	Krasienin
21-009	NasutÛw
21-025	Niemce
58-217	GilÛw
58-230	Niemcza
58-231	Przerzeczyn-ZdrÛj
46-096	Rogi
49-100	Niemodlin
49-143	Grabin
49-156	Gracze
32-003	Pod≥Íøe
32-003	Pod≥Íøe k. Krakowa
32-004	Staniπtki
32-005	Niepo≥omice
32-006	Wola Batorska
32-007	ZabierzÛw BocheÒski
05-126	NieporÍt
05-127	Bia≥obrzegi
05-127	Bia≥obrzegi k. Zegrza
05-130	Zegrze
05-130	Zegrze Po≥udniowe
87-730	Nieszawa
37-400	Nisko
37-401	Nowosielec
37-406	Zarzecze
37-406	Zarzecze k. Niska
36-107	Przy≥Ík
36-107	Przy≥Ík k. Mielca
36-147	Niwiska
36-147	Niwiska Kolbuszowskie
42-118	Nowa Brzeünica
98-331	Nowa Brzeünica
98-602	Brzeünica nad Wartπ
98-603	Waøne M≥yny
39-442	ChmielÛw
39-460	Nowa DÍba
39-461	Tarnowska Wola
83-403	Grabowo Koúcierskie
83-404	Nowa Karczma
83-422	Nowy Barkoczyn
57-400	Nowa Ruda
57-402	Nowa Ruda
57-430	JugÛw
57-430	JugÛw k. K≥odzka
57-431	WolibÛrz
57-431	WolibÛrz k. K≥odzka
57-432	Dzikowiec K≥odzki
57-441	BoøkÛw
57-450	Ludwikowice K≥odzkie
57-451	åwierki
37-310	Nowa Sarzyna
37-311	Wola Øarczycka
37-312	£Ítownia
37-312	£Ítownia k. Niska
26-006	Nowa S≥upia
26-007	Rudki
26-007	Rudki k. Kielc
26-012	DÍbno
26-012	DÍbno k. Kielc
67-100	Nowa SÛl
67-102	Nowa SÛl
67-107	Lipiny
67-107	Lipiny k. Nowej Soli
67-108	LubiÍcin
67-111	PrzyborÛw Koøuchowski
96-513	Nowa Sucha
84-325	TawÍcino
84-342	Pogorzelice
84-349	Garczegorze
84-350	£ebieÒ
84-351	Nowa Wieú LÍborska
86-060	Nowa Wieú Wielka
86-061	Brzoza
86-061	Brzoza Bydgoska
86-170	Nowe
86-170	Nowe k. åwiecia
86-171	Rych≥awa
32-120	Nowe Brzesko
32-124	åmi≥owice
32-124	åmi≥owice k. Proszowic
67-124	Nowe Miasteczko
67-125	BorÛw Koøuchowski
09-120	Nowe Miasto
09-120	Nowe Miasto k. P≥oÒska
13-300	Nowe Miasto Lubawskie
13-304	Radomno
13-305	Bratian
13-316	Skarlin
13-332	Jamielnik
05-645	Nowe Miasto nad Pilicπ
05-646	Ødøar
05-646	Ødøary
26-420	Nowe Miasto nad Pilicπ
63-040	Nowe Miasto nad Wartπ
63-041	Chocicza
99-350	Nowe Ostrowy
99-350	Ostrowy
18-207	Hodyszewo
18-211	Jab≥oÒ Koúcielna
18-212	Nowe Piekuty
18-212	Piekuty
63-407	Gostyczyna nad Prosnπ
63-451	Kotowiecko
63-460	Nowe Skalmierzyce
63-460	Skalmierzyce
63-461	Ociπø
72-022	Nowe Warpno
16-304	Nowinka
16-305	Monkinie
16-305	MoÒkinie
08-503	NowodwÛr
08-503	NowodwÛr k. DÍblina
72-200	Nowogard
72-204	Strzelewo SzczeciÒskie
72-205	B≥otno
72-207	Øabowo
72-209	WierzbiÍcin
72-220	Wyszomierz
59-730	Nowogrodziec
59-731	Zebrzydowa
59-732	GoúciszÛw
59-733	Wykroty
59-960	Wykroty
18-414	NowogrÛd
18-414	NowogrÛd £omøyÒski
66-007	Niwiska
66-010	NowogrÛd BobrzaÒski
66-011	NowogrÛd BobrzaÒski
66-012	Drπgowina
66-013	BogaczÛw
74-304	NowogrÛdek Pomorski
74-305	Karsko
92-701	£Ûdü
92-701	WiπczyÒ Dolny
09-505	DuninÛw
09-505	Nowy DuninÛw
09-506	Soczewka
16-205	Nowy DwÛr
16-205	Nowy DwÛr k. SokÛ≥ki
82-100	Nowy DwÛr GdaÒski
82-105	MarzÍcino
82-106	Jazowa
05-100	Nowy DwÛr Mazowiecki
05-101	Nowy DwÛr Mazowiecki
05-102	Nowy DwÛr Mazowiecki
05-160	Nowy DwÛr Mazowiecki
96-115	Nowy KawÍczyn
28-135	B≥otnowola
28-136	Nowy Korczyn
28-153	Stroøyska
33-300	Nowy Sπcz
33-302	Nowy Sπcz
33-306	Nowy Sπcz
33-310	Nowy Sπcz
82-212	Myszewo
82-230	Nowy Staw
34-400	Czorsztyn
34-400	Nowy Targ
34-401	Nowy Targ
34-404	Klikuszowa
34-409	PyzÛwka
34-431	Waksmund
34-432	£opuszna
34-432	£opuszna k. Nowego Targu
34-433	Nowa Bia≥a
34-434	Harklowa
34-434	Harklowa k. Nowego Targu
34-471	Ludümierz
64-300	Nowy Tomyúl
64-304	Wytomyúl
64-306	Boruja Koúcielna
64-332	Bukowiec Stary
64-333	Bukowiec
64-333	Bukowiec k. Opalenicy
64-334	JastrzÍbsko Stare
32-720	Nowy Wiúnicz
32-721	Stary Wiúnicz
32-722	KrÛlÛwka
38-206	NienaszÛw
38-230	Nowy ØmigrÛd
36-203	Izdebki
36-233	Weso≥a
36-233	Weso≥a k. Dynowa
36-244	Siedliska nad Sanem
36-245	Nozdrzec
07-321	Zuzela
07-322	Nur
17-330	Nurzec
17-330	Nurzec-Stacja
17-333	Tymianka
17-334	Klukowicze
48-300	Nysa
48-303	Nysa
48-310	Z≥otog≥owice
48-321	Niwnica
48-321	Niwnica k. Nysy
48-323	WierzbiÍcice
48-351	Bia≥a Nyska
48-381	Goúwinowice
48-304	Nysa
64-600	Oborniki
64-600	Oborniki k. Poznania
64-600	Oborniki Wielkopolskie
64-605	Wargowo
64-606	PopÛwko
64-607	Kiszewo
55-035	Oborniki ålπskie
55-036	PÍgÛw
55-037	Uraz
55-038	Osola
55-120	Oborniki ålπskie
55-122	Uraz
55-123	Osola
55-124	PÍgÛw
27-641	ObrazÛw
27-642	KleczanÛw
27-648	åwiπtniki
27-648	åwiπtniki k. Sandomierza
87-123	Dobrzejewice
87-125	Osiek nad Wis≥π
87-126	Obrowo
07-213	GrÛdek Rzπdowy
07-215	Obryte
07-216	Psary
07-216	Psary k. Pu≥tuska
64-520	Obrzycko
23-413	Obsza
34-451	Tylmanowa
34-452	Ochotnica Dolna
34-453	Ochotnica GÛrna
63-425	Tarcha≥y Wielkie
63-430	OdolanÛw
63-431	Raczyce
63-432	Garki
63-465	Nabyszyce
26-416	Kamienna Wola
26-425	OdrzywÛ≥
42-433	Gieb≥o
42-440	Ogrodzieniec
42-443	Ogrodzieniec
06-456	OjrzeÒ
64-916	LÍdyczek
64-918	LotyÒ
64-919	Pniewo
64-919	Pniewo k. Szczecinka
64-965	Okonek
28-363	Oksa
28-364	WÍgleszyn
19-400	Olecko
19-401	Olecki
19-402	Babki Oleckie
19-403	Szczecinki
19-406	Gπski
19-407	Olszewo
19-407	Olszewo k. Olecka
33-210	Olesno
33-210	Olesno k. Dπbrowy Tarnowskiej
33-263	Zalipie
33-263	Zalipie k. Dπbrowy Tarnowskiej
33-264	∆wikÛw
42-112	Bodzanowice
46-300	Olesno
46-312	Bodzanowice
46-345	Borki Wielkie
46-351	Sowczyce
37-630	Oleszyce
37-631	Nowa Grobla
28-132	Oleúnica
28-132	Oleúnica k. Stopnicy
28-220	Oleúnica
28-220	Oleúnica k. Stopnicy
56-400	Oleúnica
56-400	Oleúnica ålπska
56-403	Soko≥owice
56-414	Poniatowice
32-300	Olkusz
32-327	Gorenice
38-622	Olszanica
38-623	Uherce Mineralne
38-711	Ropienka
38-722	Olszanica
08-207	Olszanka
08-207	Olszanka k. £osic
49-332	Olszanka
49-334	Czeska Wieú
49-351	Przylesie
07-415	Olszewo-Borki
07-416	Nowa Wieú
07-416	Nowa Wieú k. Ostro≥Íki
62-641	OlszÛwka
62-641	OlszÛwka k. Ko≥a
62-661	UmieÒ
10-001	Olsztyn
10-003	Olsztyn
10-004	Olsztyn
10-005	Olsztyn
10-006	Olsztyn
10-007	Olsztyn
10-008	Olsztyn
10-009	Olsztyn
10-010	Olsztyn
10-011	Olsztyn
10-012	Olsztyn
10-013	Olsztyn
10-014	Olsztyn
10-015	Olsztyn
10-016	Olsztyn
10-017	Olsztyn
10-018	Olsztyn
10-019	Olsztyn
10-020	Olsztyn
10-021	Olsztyn
10-022	Olsztyn
10-023	Olsztyn
10-024	Olsztyn
10-025	Olsztyn
10-026	Olsztyn
10-027	Olsztyn
10-028	Olsztyn
10-029	Olsztyn
10-030	Olsztyn
10-031	Olsztyn
10-032	Olsztyn
10-033	Olsztyn
10-034	Olsztyn
10-035	Olsztyn
10-036	Olsztyn
10-037	Olsztyn
10-038	Olsztyn
10-039	Olsztyn
